Class,Instance,Attribute,Name,Type,Units,Access Type,Starting Value
0x9F,0xA001,0x0A,Output Frequency,F32,Hz,Monitor,105.23
0x9F,0xA002,0x0A,Output Voltage,F32,Vac,Monitor,709.12
0x9F,0xA003,0x0A,Output Current,F32,Amps,Monitor,36.77
0x9F,0xA004,0x0A,Output Power,F32,kW,Monitor,566.44
0x9F,0xA005,0x0A,Output Power Factor,F32,n/a,Monitor,0.88991
0x9F,0xA008,0x0A,Torque Current FB,F32,Amps,Monitor,88.66
0x9F,0xA009,0x0A,Flux Current FB,F32,Amps,Monitor,44.99
0x9F,0xA016,0x0A,Rated kW,F32,kW,Monitor,789.1
0x9F,0xA01E,0x0A,PsnVelTrq Mode A,U32,n/a,Control,0
0x9F,0xA01F,0x0A,PsnVelTrq Mode B,U32,n/a,Control,0
0x9F,0xA020,0x0A,PsnVelTrq Mode C,U32,n/a,Control,0
0x9F,0xA021,0x0A,PsnVelTrq Mode D,U32,n/a,Control,0
0x9F,0xA022,0x0A,PsnVelTrq Active,U32,n/a,Monitor,16777216
0x9F,0xA06E,0x0A,Mtr Stop Mode A,I32,n/a,Control,0
0x9F,0xA06F,0x0A,Mtr Stop Mode B,I32,n/a,Control,0
0x9F,0xA0E6,0x0A,Motor Power Lim,F32,%,Control,0
0x9F,0xA162,0x0A,Motor Side Sts 1,U32,n/a,Monitor,33554432
0x9F,0xA163,0x0A,Motor Side Sts 2,U32,n/a,Monitor,67108864
0x9F,0xA168,0x0A,IGBT Temp,F32,C,Monitor,102.3
0x9F,0xA16A,0x0A,Heatsnk Temp Pct,F32,%,Monitor,23.4
0x9F,0xA16B,0x0A,Heatsnk Temp,F32,C,Monitor,66.7
0x9F,0xA16D,0x0A,At Limit Status,U32,n/a,Monitor,134217728
0x9F,0xA1A4,0x0A,Mtr Cfg Options,U32,n/a,Control,0
0x9F,0xA1A9,0x0A,PWM Frequency,I8,n/a,Control,0
0x9F,0xA1CC,0x0A,Condition Sts A,U32,n/a,Monitor,1048576
0x9F,0xA1CD,0x0A,Fault Status A,U32,n/a,Monitor,9050
0x9F,0xA1CE,0x0A,Fault Status B,U32,n/a,Monitor,27606166
0x9F,0xA1D1,0x0A,Alarm Status A,U32,n/a,Monitor,8388608
0x9F,0xA1D2,0x0A,Alarm Status B,U32,n/a,Monitor,256
0x9F,0xA1D3,0x0A,Type 2 Alarms,U32,n/a,Monitor,512
0x9F,0xA76A,0x0A,Vel Limit Pos,F32,Hz/RPM,Control,0
0x9F,0xA76B,0x0A,Vel Limit Neg,F32,Hz/RPM,Control,0
0x9F,0xA79F,0x0A,Velocity Error,F32,Hz/RPM,Monitor,99.21
0x9F,0xA7A3,0x0A,Accel Limit Pos,F32,R/s2,Control,0
0x9F,0xA7A4,0x0A,Accel Limit Neg,F32,R/s2,Control,0
0x9F,0xA819,0x0A,Cnts,F32,%,Monitor,75.25
0x9F,0xC008,0x0A,M Side Fault,U32,n/a,Monitor,1024
0x9F,0xC009,0x0A,M Side Alarm,U32,n/a,Monitor,8
0x9F,0xC00A,0x0A,Online Status,U32,n/a,Monitor,16
0x9F,0x013F,0x0A,Logic Command Word,U32,n/a,Control,0
0x9F,0x0152,0x0A,Logic Status Word,U32,n/a,Monitor,2780152681
0x9F,0xA708,0x0A,VRef A Sel,I32,n/a,Control,0
0x9F,0xA764,0x0A,VRef Selected,F32,Hz/RPM,Monitor,6.78
0x9F,0xA772,0x0A,VRef Limited,F32,Hz/RPM,Monitor,5785.6
0x9F,0xA77A,0x0A,VRef Commanded,F32,Hz/RPM,Monitor,1034.98
